,title,release,lyrics
0,over the stoic,20080910,stoic the world 革命への方程式　spellはUV　無限にplay空っぽの地球儀に、ねじ込めば音　煮えたぎる鼓動　お前等がplayerriskを背負う　それこそromantic＋bounce　核の違いぶっとんだ回路　規格外のcore　己しか出来ない力をcontrol
0,ALL ALONE,20160727,Black Point　浮き上がる AriseSTRAIGHT OUTTA TOKYO noisy townがんじがらめの　規制と法俺達が信じたのは戦争を知らぬ大人の群れでは無く宗教や金でもねぇ自分の存在を　認める瞬間を哀しい時に　僕は歌うあいつは言った　俺は踊る私　絵を描いてる時だけ全て忘れられる真っ黒な壁に　黒のスプレーで助けてと書かれたメッセージいかがわしい都会の影に　飲み込まれて行く生まれの貧しさが　僕らの未来を決められなかったように生まれの貧しさなんて　誰かと比べるものじゃないけど自由や平等なんて言葉で　これ以上導くのなら答えてみろよLONELYこの世界の Dislike　一番最低で本当に許せない所はその　本当にこの世界で起きてる最低な出来事は表現させない　歌わせないLONELYいつかこのままじゃ　掴めずとも　伸ばしてた手も下ろしてしまうんだろう？そしていつか　この許せないと言って泣いた意味も夢も　忘れて行くの？そう Ride or Die　出せよ　チップあぶく銭を得ては　それを恐ろしい物に変え満たしたい感覚は　自分で掴んだと言う感覚を何者に媚びぬ力が欲しい無理なら媚びる勇気が欲しい頷き　従う　勇気を雑居ビルの隙間を抜け　スクランブル助けてと掲げたメッセージボカシのかかったこの街じゃもう　目さえ合わない死ぬ間際に　お金や物を欲しがる人なんて居ないでしょう？僕達はそんなものを　探す旅をしているんだろうきっと世界が無くした物だろう　正しい愛と夢お前らに　言ってんだよLONELYこの世界の Dislike　一番本当に悔しくて許せない事はこの　本気で追いかけて来た夢も値札が付いてなくちゃ　見向きもされない認めちゃくれないLONELYいつかこのままじゃ　掴めずとも　伸ばしてた手も下ろしてしまうんだろう？そしていつか　この許せないと言って泣いた意味も夢も　忘れて行くの？暗闇での多数決　押し付けられるルール虚無感と　違和感と舌打ちが　街に響いてても哀しくても　歌ってるだけで哀しくても　踊ってるだけでほんの少し　こんな街で僕らは輝けてる気がしてた哀しくても　絵を描いてる時だけこの街に　存在してる気がしたほんの少し　笑ってる気がしたLONELY自分自身の Dislike　一番本当に悔しくて許せないことはこの　特別な才能を持って産まれて来れなかった事なんかじゃないこの世界のどうでもいい　心無い言葉やただのフレーズに押しつぶされそうになって全てを　一瞬で捨ててしまいそうになる事未来も　この命も哀しくても　歌ってるだけであいつは　踊ってる時だけ彼女は　絵を描いている時だけあの子は　文字を綴っている時だけあいつらは　何かを演じてる時だけあの人は　誰かを笑わせてる時だけ彼らは　物を作っている時だけお前は　お前がやりたい事を　やれ最後の日に欲しい物は最後の日に欲しいと思えるようなこの街で生きて来た証
0,counting song-H,20080116,disclose　妨げのthought逃れようとしても　形をかえてWhy?　瞳が引き寄せ頭中を打ち抜き　染める6番目の回路契って空に飛ぶ目を合わさぬように　声を殺す飢えた肉食の社会　言動が刺す刺に闘争心なんて折れて　朽ちてく歌に散りばめる明日の簡単な地図も揺らぎだして見えないから風に揺れた向日葵や空の色も　君の声も心に残るものだけ並べて　生きてたいけど…常に答えを求めてくるこの世界のルールなの?誰一人正解を知りもしないのに?逆説の独房　逃げ道も無い二重に仕組まれたトラップ無心に届く「ごめんよ!」って足すくってこま進めるうろたえた証なんて枯れて　薄れゆくあるべきはずの思いやりの簡単な合図もためらって目を逸らしたんだ雨に濡れた紫陽花や濡れた君の黒い髪も心に残るものだけ並べて　眺めてたいなでもきっと　泣き崩れた人の横も歩くだろそのとき目を逸らさず　(without a reason)無意味な比較なんて何も生みはしないよ求めてもいないよ歌に散りばめた明日の簡単な地図にも近道なんてありはしなかった笑い声を待つアサガオ当たり前の君の横顔失くしたくない物だけ並べて　眺めていたいなでもきっと　泣き崩れた人の横も歩くだろその時手放しで救えるように日差しの手の温もりも四季が魅せる美しさも君がくれる暖かさも与えられてることに気づき常に答えを求めてくるこの世界のルールなの?誰一人　正解を知りもしないのに?
0,哀しみはきっと,20091028,心だけは　捨てないよこれが終わりだとしても　誰にも思い出とか希望は奪えない手を重ねた時の　温もりをイメージして辛い時ほどほら　笑ってみせるよいつも僕は　嫌な事一つで　良かった事全部を忘れてしまいそうになるけれど少しずつ強くもなって　想いを　想いを立てない程の哀しみが　僕を選んだとしても誰かが　この運命のクジを背負うなら僕は　避けて生きるだけの人になりたくない辛いのは分かってるけど　明日笑えるように運命のこよりは　巡るゲームのようにふられたサイにほら　人は当てられた運命(みち)　辿って行くこの目に映る全ての物は　奪われたり無くしたりするけれど君がくれた言葉だけは　誰にも奪えない何も見えない暗闇の　愛が消えた夜には眠りにつく前に　君を思い出す明日君と一緒に見た　雲を探しに行こう無理なのも分かってるけど　今日よりちょっとは進むために素敵なものにでも　どんなに辛くても　いちいち憂いていられない時代で楽は直ぐ過ぎ去り　辛い時の方が永く感じる　嫌な相対性理論の中で過ごす空を眺め　ゆっくりと浮かぶ　はぐれ雲を見ていつかの僕みたいだね　君の声探してるよサヨナラは言わないことにしよう　これが終わりだとしても自分でさえ　希望とか心とかって奪えない一日が終わり眠る前に　明日あえるかな?とか無理なのも分かってるけど　愛の住む心のど真ん中は誰にも奪えないから　明日を笑って迎えるためにふわふわ　はぐれ雲が僕の憂鬱と共に流れて行く同じ雲に　また誰かが「自分みたい…」って重ねるのだろう
0,神集め,20080116,"The Secret of God番犬のケルベロスの目を盗んでこっちに来いよ暗闇病室ベットの上で今夜は何を話そう?「神懸り」　未知の領域があって「本当に? 本当に?」NONONONONO!最大の秘密は　あの世があってcry cry　本当の終わりは此処じゃないことゴルフィルの木で造った船　ノアに舵を任す雨を欲した砂漠のSPIDER　垂らした糸で誘う「アマテラス」宴くらいこっち来いよ踊れ踊れ　踊ろろろろ猫の額の　神の心きっと　きっと　信じる者のみ導く「だから終わりじゃないよ」って「秘密を超えたその先でもう一度逢えるよ」って君は泣き顔で笑った物語の星になって　空からいつも見てるから「だから別れじゃないよ」って　君はもう一度笑ったAn act of Godthe music evokes the pastThe Secret of GodEverything is alrightThe fairytale told in my childhoodmade me thinking of GodThe existence of the unknown world must be the top secretThe fairytale told in my childhoodmade me thinking of GodThe faith, Enormous, ExpandingImmeasurable world, Beyond the moon and starsThe faith, Enormous, ExpandingImmeasurable world, Beyond the moon and stars明るい空にだって　厚い雲がかかったって目に見えないだけで星は変わらずそこにいるから「だから終わりじゃないよ」って「秘密を超えたその先でもう一度逢えるよ」って君は泣き顔で笑った最後の時を知って　その日を一人待つより忘れ去られていく事が本当の怖さだっただから夜空の星になってThe Secret of God"
0,Colors of the Heart,20060517,あの日僕の心は　音もなく崩れ去った壊れて叫んでも　消し去れない記憶と暗闇が　瞳の中へと流れ込むもう色さえ見えない　明日へと沈む分かり合える日を　止めどなく探した失うためだけに　今を生きてくもう駄目だと　一人孤独を抱いてもIf you turn on the lights…光へ　照らしてく「願い続ける想い　いつか色づくよ」と教えてくれた心に生き続ける人何もかも　必然の中で生まれる　Colorsもう一度この手で　明日を描けるからいつの間にか僕は　失くすことにも慣れ手に入れた物さえ　指をすり抜けてく涙が枯れる前に　聞きたかった言葉は今は誰かを救うためにIt's all your fate. You gonna do that.「光が強くなれば　闇も深くなる」と気づいたとしても　恐れることはないよ何もかも　心の果てに生まれる　Colorsもう瞳を開いて　見つめられるから悲しみの Breathそれは探してた色を滲ませるよ音も立てずに「願い続ける想い　いつか色づくよ」と教えてくれた心に生き続ける人何もかも　必然の中で生まれる　Colorsもう一度照らすよ　光の指先でJust drawing…　Colors in light and darknessAnd take it…　Colors in light and darkness今は届かない優しい色も全てはまたこの手で　描き直せるから
0,KICKが自由,20140702,突然　思ってる事を全部　意味なく歌にしたくなる間違いも録り直さず　入れたくなる決して病んでるわけじゃない　さあ行って見よう音楽はリズムが大事だね　生活にはリズムが無いね年の半分はスタジオで　オッサンだらけに囲まれても曲を作り散らかして　楽しんでるはず出前を持って来るオバぁさんも　可愛く見えて来るはい　僕は少し病んでる事を認めるよOH全てがそう捉えようさ　何もなくとも　ここんところずっと今に始まった事じゃないよFeel like a million dollarsまだ見ぬ未来　昔は良かったなんて言えれば　そりゃまだマシ夢から逃げるなら　それも本気で逃げなきゃなどこまでも追ってくるよ言うの忘れてたね　1番の歌詞はこの曲と全く関係ない実に興味深いよね　でも何でなんだろうねきっと似たものなのにね　あの子とあの子もたったほんの少し　ほんの少しの違いってこともほぼシルエットは一緒で　その機能性もほぼ一緒でみんな同じのが付いてんのにあの子のが見た・・・この話も　やっぱり　もう良いそんな事より　KICKっていう犬が可愛いんだよ食事中は君の瞳には　僕は映る事さえ出来なかったけれど残念だな　君が何を愛そうが　何処へ行こうが僕は君を忘れたりはしないだろうOH全てがそう捉えようさ　何もなくとも　ここんところずっと今に始まった事じゃないよI won't forget youMy sweet dog I love KICK 僕らのアイドルだったよ自由を歌うとき　君を想い出すよああ　そう言えば言うの忘れてたね　2番の歌詞もこの曲と全く関係ないもう上手く行かないから辞めてしまうよそんな夜はもう　何年も前に越して来たんだよまだ見ぬ未来も　自由じゃなきゃ何の魅力もないとは言っても　この曲とやっぱり全く関係ないああ　そう言えば言うの忘れてたね　この曲で伝えようとしていた事をこの先　君がどんなに応援してくれようといつか僕らも何かに負ける日が来るだろうでも　その日こそ誇りに思わせるよ何度も立ち上がるその姿を
0,君の好きなうた,20061122,好きだよと　今日も言えないまま見送った　今まで一緒にいたのに会いたくて　君の好きなうたを繰り返し口ずさんだ　帰り道話す声のトーン　視線の先　ほかの誰かとかわす言葉さえ些細な　君の仕草が　僕を惑わせる君の気持ちが　同じように　答えがここでありますようにきっとずっと　待った　奇跡よ　起こるなら今ここで好きだよと　今日も言えないまま見送った　今まで一緒にいたのにすぐに会いたくて　君の好きなうたを繰り返し口ずさんだ　帰り道偶然ふれた手　君の体温さえ愛しくて僕の全てを受け入れてくれる気がした出会えたことで　気付けたことが　僕を変えて行く今まで以上にもう二度と人を愛さないと前の恋で　うつむいていた僕ももう一度　誰かの為に生きたいと思えたこの気持ちを伝えに行くよどこにいても　何をしてる時も　君のことが頭から離れない教えてくれた　届かぬつらさ　恋のせつなさ　愛する喜びをその笑顔も　受話器越しの声も　人ごみが苦手な小さな体悪い癖も　君にしかないもので輝いている全てが　one and only僕の中で君を思うことが　明日の生きる力に変わってくもし向き合えたなら　同じ歩幅で信じ合える道を　歩いて行こうこんなにも君を思うだけで苦しくて　愛しさ募る　気持ち会いたくて　君の好きなうたを繰り返し口ずさんだ　帰り道
0,君のまま,20100414,このドアを開ければ　いつものように変わらず君がそこに　居てくれてる気がするんだ随分先の事だと思ってたのに　明日の夕方発(た)つんだね昨日より大人に見える 君の横顔に　何も言えなくなってしまうよ溢れる想いは　止まらないのに　意気地なしがまた君を傷つけ頑張って来なって　笑って送るつもりがただうつむいたまま　手を握りしめただけ...夕方頃から　降った雨の中　いつも以上に忙(せわ)しくなる街子供達が　狐の嫁入りだとはしゃいでる見慣れたこの街の　至る所に溢れる想い出が　心を砕く　逢えた喜びは言葉に余る何処に居てたって　変わりはしないこと分かったはずなのに　核心を告げずに道ばたに咲いてた花　また明日だって咲いてると思ってたのに今頬を撫でてくれた　この風は二度と戻らない　wow凍える夜は　想い出せばいい　色を変えて変わってくのもいいいつかまた出会えるその日を一日千秋(いちにちせんしゅう)のように待ちこがれてるよ心が晴れてくよ　成長して生きてくよ溢れる想いは　これからの為に　逢えた喜びは言葉に余る何処に居てたって　変わりはしないから君はそのままで　歩いて行けばいい
0,Q.E.D.,20170802,Just wanna keep look onYou も誰も　眩い世界　憧れ立ち尽くすだけならそこにたどり着いて言ってやるよ俺はお前と同じ場所に立ってた憧れと許せないのが明らさま混在してイケてるのと　そうじゃないのと奴等にも二種類あって命に関わる事以外は好きにさせて欲しくね？誰が見ても無謀な夢追っている奴 (everyone)自分の気持ちに正直すぎる奴 (everyone)それをダメな大人と呼ぶなら (everyone)「最低で最高な奴を目指していこう！」土砂降りの本能受け入れて誰かの描いた絵じゃなく自分の道描いて無謀な夢叶えて言ってやるよ俺はお前と同じ場所に立ってた憧れと許せないのが明らさま混在してイケてるのと　そうじゃないのと大人にも二種類あって伝えてくる言葉はいつも一言多いか少ないかやたら溜息の多い奴らだ (everyday)ああなりたくはないと願って生きた (everyday)常識　前例　世間の目を (everyday)そればっか口にするところが　またダサかった俺達はもう…そうガキじゃないでもつまらない大人になったつもりも無い無謀な夢叶えて言ってやるよ此処に希望はまだあるお前にだってあるFollow your heartBring upテメェが何を護りたいかだ　たったそれだけある程度自分の現状に納得してなきゃふざけても笑えねぇその理想像へ行こうぜ (everyone)本当の笑顔失うな (everyone)どこまでも行こう諦め悪く最低で最高な俺達でいよう土砂降りの本能受け入れてこれしかない想いで生きて来たんだろ？俺達はもう…そうガキじゃないでもつまらない大人になるつもりがないなら無謀な夢叶えて言ってやるよ此処に希望はまだある俺たちにだってまだあるその理想像へ行こうぜ (everyone)本当の笑顔失うな (everyone)どこまでも行こう諦め悪く最低で最高な俺達でいようその理想像へ行こうぜ (everyone)本当の笑顔失うな (everyone)
0,境界,20191204,Going up！そう　Independent bad city誰もが AI のよう　はみ出さぬように　Feeling行きたいように行けやりたいようにやれ愛したいもの愛せAfter all生きる意味なんてある訳ないじゃん　ある訳ないじゃん　ある訳ないじゃん生まれた意味なんてある訳ないじゃん　ある訳ないじゃん　作るしかないじゃんGoing up！そう　Independent bad city国籍も性別も　全てを越え言いたいこと言え辞めたいなら辞める愛したいもの愛せAfter all生きる意味なんてある訳ないじゃん　ある訳ないじゃん　ある訳ないじゃん生まれた意味なんてある訳ないじゃん　ある訳ないじゃん　作るしかないじゃんGoing up！本当はどこへ行っても良いはず何をやっても良いはずいつ辞めても良いはず本当は傷ついても良いはず傷付けても良いはず誰を愛しても良いはず生きる意味なんてある訳ないじゃん　 ある訳ないじゃん　ある訳ないじゃん生まれた意味なんてある訳ないじゃん　ある訳ないじゃん　作るしかないじゃん
0,KINJITO,20111214,"1,2Glad hand 1,2 now疑うことなく　バウンス　金字塔諦めるわけない　信じ続けた俺らの桃源郷from Japan 発信地は東京黄金郷ならジパングを妄想かどうか新時代を想像未来はそう　俺らが創造Come onYour love drives me Crazy　金字塔By buy bye little by bye byeEveryone's speakingYour love drives me CrazyLittle by buy bye little by bye byeLet us go the point　Wa-wa go again stoicYour love drives me CrazyLittle by buy bye little by bye byeLet us go the point身に降りかかる大概は　自業自得　ざまねえYour love drives me crazy責任者を連れてこいよBaby　退屈な日々からみんな誘って逃走しよう今も逃げ腰　ヨロレライレヒ行けよ　In my head報道規制越える君のページ枯れるくらいなら舞い散れやもういいよ　言い訳はやるかやらないはどっちだ?ダイダラボッチなのか?どうなんだ?　どうなんだ?立ち尽くすままで終わっていいのか悪なき欲望の革命児　ララバイ散々な日々をくぐり抜けここから始まるいつか　この不安　涙　向こう側の栄光へLittle by buy bye little by bye byeWa-wa go again stoic走れ赤道直下運を生み出すタイミングそれは目下 信じろ 掴む firstYour love drives me CrazyLittle by buy bye little by bye byeLet us go the point泣かないでBabyそう言ってよかった思い出だけ脈絡なく思いだして責任者は己自身だ上下関係ってなんだっけ?みんな誘って独走しよう今が勝ち時　ヨロレライレヒ行けよ　In my head最大許容範囲(キャパシティ)無限のスペース枯れるくらいなら舞い散れやさあ　行こう　もう俺らの番だ将棋でいう玉将　チェスならキングダイダラボッチなのか?どうなんだ?　どうなんだ?立ち尽くすままで終わっていいのか悪なき欲望の革命児　ララバイじゃねぇんだぞ日々をくぐり抜けここから始まるいつか　この不安　涙　向こう側の栄光へLittle by buy bye little by bye byeWa-wa go again　Stoic1,2Glad hand 1,2 now疑うことなく　バウンス　金字塔諦めるわけなく　信じ続けた俺らの桃源郷from Japan 発信地は東京黄金郷ならジパングを妄想かどうか新時代を想像未来はそう　俺らの手の中Glad hand 1,2 now疑うことなく バウンス　金字塔諦めるわけない　信じ続けた俺らの桃源郷from Japan America赤道直下動き出せ　タイミングは　そう　目下信じろ　己を信じろ　打ち立てろ　お前らの金字塔Go down beat bronx On the grooves(Wa-wa go again)Hey play 4 strings oh come on(Wa-wa go again)Ready go Play Rocks 6 strings(Wa-wa go again)Michrophone　Beat Box　俺がACE(Wa-wa go again)Sax!最後に大切なやつらと　笑えりゃいい　笑えりゃいい傷だらけになっていたとしてもEnlarge your chance to flyどこなんだ　どこなんだ諦めるための理由をさがすのをやめたいつか　この不安　涙の向こう側の栄光へLittle by buy bye little by bye byeLet us go the point　Wa-wa go again stoicYour love drives me CrazyLittle by buy bye little by bye byeLet us go the point己を信じ続ける　タイミングあわせてWa-wa go againReady go Once again ついてこいWa-wa go again世代交代　新時代の到来俺らの番だな　そうだろ?Little by buy bye little by bye bye"
0,クオリア,20100915,It's time now　See me nowやっと出逢えたんだね初めからそうだった僕らは誰かと比べられ生きて来て笑おうとしたそんな世界で二人は　お互いの幸せを願えるんだね僕のあくびが君に移った　君の明日が全てに変わった億千の巡り逢いの中で　最後までこの出逢いを　僕は欲しがるだろう綺麗に着飾るための言葉　そんな物に意味は無い　必要ない　捨てろよ心臓にもない　脳にもない　何処にも見当たらないココロ二人の間なら　確かに感じられる会えない日の寂しさが　ほら一緒に居る時間の充実さを証明した特別な時間(とき)に変わって行くよ思いを辞したんじゃない　ねぇ　ねぇ伝えたい心情が　ねぇ隣で　ここぞって時に　言葉がこんなに溢れてるのに　何も言えなくなる大切な事は　大切と想う事を　ありきたりな言葉に　全部を込めるよ心臓にも無い　脳にも無い　何処にも見当たらないココロ君を想う時は　確かに熱く揺れてる億千の巡り逢いの中で　最後まで君の事を　僕は欲しがるだろう綺麗に着飾るための言葉　そんな物に意味は無い　必要ない　捨てろよ心臓にもない　脳にもない　何処にも見当たらないココロ君と居る時は　確かに感じれる　優しく全てを包み込んで行くIt's time now　See me nowやっと出逢えたんだね
0,closed POKER,20100414,ポーカーゲームなら　腕に覚えがある人生だってよく似たもんだろ?大風呂敷をひろげても　俺は負けた事ない手元にカードを引きつけ　レートは高めでワンペア　フルハウスでも　表情を変えずに心理騙し合いさ　恋愛も同じように何を求め傷つけ合って　群の中で傷舐め合って誰かの為に生きるなんて　わずらわしかった大人達は汚れてるなんて　今のガキには言わせないぞ小さな迷いもなかった　君に逢うまでは　逢うまでは砂を噛むような　味気ないはずだった後ろ髪を引かれた事も無かった子供の頃の思い出に　愛情は無かったから誘発した不自然な気持ちに　合わす顔が無かったこの想いに　名は無いだろうコントロール不能に全てが嘘みたいに　惹かれ合った者同士壊れる程に　抱きしめ合って　互いの闇を照らし合って必要としてた　手に無いカードを求め合うように確かめるように　さらけ出して　震えて孤独　消え去って引き換えに　勝敗の行方の恐れの影が差したYo! ready go on show down思った以上に　生きる事は難しくて　嫌気が差していた未来はもう針の筵(むしろ)だと思ってた思った以上に　笑うことは難しくて　嫌いだった置いて行かれることに　恐れは無かった壊れる程の愛と言う　危険なカードを手にしたんだこの一枚が　願うものか　身を滅ぼすか　時の運しだい
0,GOOD and EVIL,20181107,振り向かずグッバイ僕を一人にした世界を追い掛けることは無いYou knowEverIt's on fleek getting捨てな潔く希望Bom！　怒り勃発　From now生き残るためだけの　War寧ろ整う情勢一体いつまで俺達はもう何と戦わされてるの？過激派もKnowledge is power戦術はEvolution振り向かずグッバイ僕を一人にした世界を追い掛けることは無い善悪よりもずっとその命何に使うか明確に出来た者が残るEverYou knowIt's on fleek gettingIt's gonna be ok　何言ったってIt's gonna be ok　何やったってIt's gonna be ok　何愛したって本当は良い　覚悟だけだって一体いつまで俺達はもう何と戦わされてるの？過激派もKnowledge is power戦術はEvolution本当はもう気付いてる真実よりもずっと自分に幾らか都合の良い嘘を信じ出した未来振り向くなグッバイ君を一人にした世界を追い掛けることは無いEverYou know全て終われる覚悟過激派もKnowledge is power始まってく覚悟過激派もKnowledge is power本当はもう気付いてる善悪よりもずっと　その命何に使うか明確に出来た者が残る振り向かずグッバイ僕を一人にした世界を追い掛けることは無いEverYou know
0,GROOVY GROOVY GROOVY,20080116,[gut gut gut!]check itbrave [bomb!]ライフゾーン [GRAVIS]absolute music [イェー]脳内にぶっ刺して直結check itbrave [bomb!]ライフゾーン [GRAVIS]DUB ME CRAZYgo up!感覚とリズムのステージえぐり込む簡単にブロウ　ノックアウトしていきなLife goes on その中でファイティングポーズ　musicパンチドランカー抑えきれないものを　見せてみろ　見せてみろ[gut gut gut!]check itbrave [bomb!]ライフゾーン [GRAVIS]absolute music [イェー]脳内にぶっ刺して直結check itbrave [bomb!]ライフゾーン [GRAVIS]DUB ME CRAZYgo up!classical word 並べて　go playing劇物投下　ガンガン鳴らす　衝撃波のnoteGET YOUR TOMORROW　その中で爆音　G-G-D-B　mic 伝う感電粒子枯れるまで意思を　聞かせろよ　聞かせろよ[gut gut gut!]check itbrave [bomb!]ライフゾーン [GRAVIS]absolute music [イェー]脳内にぶっ刺して直結check itbrave [bomb!]ライフゾーン [GRAVIS]DUB ME CRAZYgo up!音に出して　声に出して　伝うshock聞かせろよ　届けそう　The word[gut gut gut!]break!check itbrave [bomb!]ライフゾーン [GRAVIS]absolute music [イェー]脳内にぶっ刺して直結check itbrave [bomb!]ライフゾーン [GRAVIS]DUB ME CRAZYgo up!音に出して　声に出して　伝うshock聞かせろよ　聞かせろよ　The word
0,激動,20080611,"研ぎ澄ます　eyes聞き飽きたフレーズや誰かのコピーじゃ満たされないんだよSpark　消えてくれまた虎の威を借りて　吹いてくんだろ末期のドス黒のベストプレイ　インザハウス第一線のステージでこれっぽっちも負ける気がしねーな24h 7d Come on, fight it out.所詮　青の世界に閉じ込められて笑う太陽を失って　僕は月のありかを探す見えていた物まで　見失って僕らは思い出の海の中　溺れていくのにどうして?　誓い合ったことまで無かったことにして　次のpassportCloudy失われ　insistence馴れ合いのeveryday　Flatererに苛ついてんだよSpark　消えそうだ拍車はかからずとも　思いに移ろいはない末期のドス黒のベストプレイ　インザハウス第一線のステージでこぞって探すelysionの扉目前で逃す手のひらから笑って落ちて行く　綺麗に必死で集め彷徨った空っぽのストーリー大切な思い出も　少し置いて行こう全て背負ったままじゃ　渡るには重くてそうして　また出逢った時には　少し色濃く暖めてくれRebel one　永久の声 again　心にいつ届くRebel one　永久の声 again　聞かせてRebel one　永久の声 again　心にいつ届くRebel one　turning pointG9　一桁で魅せる　激動の脳内革命base　ability　mindRound　1　ダッセー位置から吠えてな喰らった挫折プラス本気の瞬間だ　G9ヘビーのパンチ魅せる激動　1ケタで脳内革命Rebel one　shake violently again　コマク飛ばすRebel one　shake violently again太陽を失ってしまった僕の瞳は月を映し輝くことはないよ尽きない欲と願望にあてられてきっと何処にも無いものを探して歩くよ見えていた物まで　見失って僕らは思い出の海の中　溺れていくのにどうして?　誓い合ったことまで無かったことにして　次のpassport大切な思い出も　少し置いて行こう全て背負ったままじゃ　渡るには重くてそうして　また出逢った時には　少し色濃く暖めてくれ上手く置いていけたら　溺れないで　捨てないで　また逢えるからRebel one　永久の声 again　心にいつ届くRebel one　turning point"
0,撃破,20091028,変わっていく憂鬱な背景を映すことは無い　ドナウの風をうけアルベルトはこう言った　あえて厳しい言葉を選んだのだろう『人は生まれながら、孤独なのだ』と疑似幸福論の断片じゃ　隠しきれぬ程の毒的依存症漂う　夜が明け目が覚めた真実と道義　それを唱えれば　すぐ消されるんだろ何も聞かされず　そう聞かされず気持ち焦って　泣きわめいたって　救われないんだよ地獄も天国も　本当はこの世にあるんだろ今の自分が幸か不幸かなんて　そんなことは自分で決めろってことだろ変わっていくことに対して恐れは無いけど最近性に合わぬ　外野に振り回されてもしもの時はここに戻ろう　いつもと同じ　何も変わらずに仲間同士で笑って歌って過ごせる今を　気絶しそうな程に愛してるんだよ他人にしちゃ価値が無くたって　誇れるものが自分を唯一撃破できる　Precious One開き直って　快楽に消えて行ったとしても水を得た魚が食に飢えてるよ手にある幸せに気づけない悲しい生き様を　映し出していくのか至って　駄目になっていくこんな世界でも恥ずかしげも無く　愛を歌ってやろう世界にしちゃ価値が無くたって　誇れるものが自分を唯一撃破できる　Precious One
0,core ability +81,20080611,dancing dancing...dancing dancing...Ah 他愛も無いことで　笑いも耐えなくて2度と無いだろう　こいつらと音の出会いはdancing dancing...dancing dancing...
0,CORE PRIDE,20110511,生を受け　それぞれが人生を謳歌　脳のブラックボックスを知る それは幸か?要はリミットラインをすべて凌駕　さぁ行こうか　踏み出す　それは今日だやっぱ日々は如何せん　こう　そつなくこなしてちゃ　NO NOストップ　流れを見極めな　まずものともせず行こうぜ届かぬものや限りあるものに　熱くなる胸を押さえつけるのは理解もせず　押さえつけようとしてきた嫌いで許せなかった　あの大人達と同じじゃんかよどうしたって　叶わない絵空事だろうが胸を燃やす火は誰にも消せやしない空から降る黒い雨が　この身濡らし降り止まなくともまだ消させはしないこの胸の火　それが「プライド」予報通りに降り出した雨　予想以上に仲間は集まったお互いの日々や将来の話で　熱くなって殴り合いになった15の頃も不安から逃れるように同じような事で殴り合ったこと思い出してお前が笑い出すから　変わってないな...って　俺も吹き出したんだそうやって意地張って　踏ん張って生きてなくちゃ　時間の流れさえも怖くなる本当に殴るべき相手は　そんな自分だろただ今は負けたくない　自分に負けない「プライド」ストップ　流れを見極めな　まずものともせず行こうぜストップ　流れを見極めな　まずものともせず行こうぜどうしたって　やっぱ一人の夜は　自分の事さえも分からなくなるそんな俺と分かり合おうとしてくれる君が居るなら　もっと強くなれるもうどうなったって良い　格好悪くたって良い死にものぐるいで未来を変えてやるどうしたって　変えれない運命だと言われてもまだ俺は変われる　自分で変えてみせるこれがそう「プライド」　それぞれの場所で...まだまだ消えるな　心の火をまだ忘れたくない　胸の熱さをまだまだ消えるな　心の火をまだまだ行けるぞ　行けるぞ
0,恋いしくて,20080910,君に最後に　打ち明けた　夢の話のことは　うまくいっているよ君といるはずだった時間は　仕事に打ち込んだり　仲間と過ごしたりでもなぜだろう　たくさんの人に囲まれているときほどこの世界中で　一人きりな気がして君の姿　探してしまうんだ恋いしくて　君の名を　呼んだ　呼んだ心のままに愛せば良かった　“さよなら”の訳を　何度も繰り返す終わり告げたのに　消せない雨はいつも　止むときを　教えてはくれずに　ただただ降り続くいつもと同じ　時間通りの最終電車の中　寄り添う恋人たちふいに　気持ちがあの日と重ねる　思いは褪せずに時間は経つのに　雲の晴れない空の涙がまだ止まらないんだ恋いしくて　君の名を　呼んだ　呼んだ心のままに愛せば良かった　臆病になってたんだたとえば君がそこに咲く花ならば水を注ぎすぎ枯らす　守りすぎて日差し閉ざす分からなくなるほど　君のことI miss you甘すぎる蜜は　その甘さゆえに嫌われ絶妙なバランスが　ほら　崩れ始めたとき　怖くなって何が大切かを　分かった振りして離してしまった　愛を別れは出会いの始まりだって言い聞かせて今日も僕は歩いていくけど恋いしくて　君の名を　呼んだ　呼んだ心が理解してくれないんだ　“さよなら”の訳を　何度も繰り返す終わり告げたのに今はもう逢えないと　分かっているのに僕はまだ理由を探している　“さよなら”の訳を何度も繰り返す心に嘘が…つけなくて
